127.0.0.1 - - [10/Aug/2026 12:35:42] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:36:04] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:36:05] "GET /theme-neu.css?v=20260813 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:36:05] "GET /assets/fonts/Qimen-Subset.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:36:05] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:36:05] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:36:05] "GET /static_js/app.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:36:05] "GET /assets/images/bg-desktop.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:36:05] "GET /assets/fonts/Qimen-Subset.woff HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:36:06] "GET /assets/fonts/AaLieYanLiShu-2.ttf HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:36:06] code 404, message File not found
127.0.0.1 - - [10/Aug/2026 12:36:06] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [10/Aug/2026 12:38:24] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:24] "GET /theme-neu.css?v=20260814 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:24] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:25] "GET /static_js/app.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:25] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:25] "GET /assets/fonts/Bazi-LieYan.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:25] "GET /assets/fonts/AaLieYanLiShu-2.ttf HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:25] "GET /assets/images/bg-desktop.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:27] "GET /theme-neu.css?v=20260814 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:27] "GET /assets/fonts/Bazi-LieYan.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:27] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:27] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:28] "GET /assets/fonts/AaLieYanLiShu-2.ttf HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:28] "GET /static_js/app.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:28] "GET /assets/images/bg-desktop.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:32] "GET /theme-neu.css?v=20260814 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 12:38:32] "GET /assets/fonts/Bazi-LieYan.woff2 HTTP/1.1" 200 -
